Set No.,Set Name,Player,Country,Age,Specialism,Batting,Bowling,IPL,C/U/A,Base Price
28,USP2,Midhun Sudhesan,India,27,BOWLER,RHB,RIGHT ARM Leg Spin,1,Uncapped,20
29,BA4,Martin Guptill,New Zealand,35,BATSMAN,RHB,Not specified,13,Capped,75
29,BA4,Usman Khawaja,Australia,35,BATSMAN,LHB,RIGHT ARM Off Spin,6,Capped,150
29,BA4,Brandon King,West Indies,27,BATSMAN,RHB,RIGHT ARM Off Spin,0,Capped,50
29,BA4,Janneman Malan,South Africa,25,BATSMAN,RHB,RIGHT ARM Off Spin,0,Capped,50
29,BA4,Bhanuka Rajapaksa,Sri Lanka,30,BATSMAN,LHB,Not specified,0,Capped,50
29,BA4,Rilee Rossouw,South Africa,32,BATSMAN,LHB,RIGHT ARM Off Spin,0,Capped,100
29,BA4,Paul Stirling,Ireland,31,BATSMAN,RHB,RIGHT ARM Off Spin,0,Capped,50
29,BA4,Hanuma Vihari,India,28,BATSMAN,RHB,RIGHT ARM Off Spin,0,Capped,50
29,BA4,James Vince,England,31,BATSMAN,RHB,Not specified,0,Capped,200
29,BA4,Hazratullah Zazai,Afghanistan,24,BATSMAN,LHB,Not specified,0,Capped,50
30,AL4,Roston Chase,West Indies,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Capped,100
30,AL4,Ben Cutting,Australia,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,21,Capped,75
30,AL4,Lewis Gregory,England,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Capped,150
30,AL4,Moises Henriques,Australia,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,62,Capped,100
30,AL4,Akeal Hosein,West Indies,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Capped,50
30,AL4,Karim Janat,Afghanistan,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Capped,50
30,AL4,Scott Kuggeleijn,New Zealand,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,2,Capped,75
30,AL4,Pawan Negi,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,50,Capped,50
31,FA4,Taskin Ahmed,Bangladesh,27,BOWLER,LHB,RIGHT ARM Fast,0,Capped,50
31,FA4,Marchant De Lange,South Africa,31,BOWLER,RHB,RIGHT ARM Fast,5,Capped,200
31,FA4,Dhawal Kulkarni,India,33,BOWLER,RHB,RIGHT ARM Fast Medium,92,Capped,75
31,FA4,Saqib Mahmood,England,25,BOWLER,RHB,RIGHT ARM Fast,0,Capped,200
31,FA4,Kane Richardson,Australia,31,BOWLER,RHB,RIGHT ARM Fast Medium,15,Capped,150
31,FA4,Naveen Ul Haq,Afghanistan,22,BOWLER,RHB,RIGHT ARM Fast Medium,0,Capped,50
32,UBA4,Harpreet Bhatia,India,30,BATSMAN,LHB,RIGHT ARM Medium,4,Uncapped,40
32,UBA4,Sudip Chatterjee,India,30,BATSMAN,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
32,UBA4,Hiten Dalal,India,27,BATSMAN,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
32,UBA4,Abhimanyu Easwaran,India,26,BATSMAN,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
32,UBA4,Laurie Evans,England,34,BATSMAN,RHB,Not specified,0,Uncapped,40
32,UBA4,Rahul Gahlaut,India,26,BATSMAN,LHB,RIGHT ARM Off Spin,0,Uncapped,20
32,UBA4,Amandeep Khare,India,24,BATSMAN,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
32,UBA4,Mayank Rawat,India,22,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
32,UBA4,Dhruv Shorey,India,29,BATSMAN,RHB,RIGHT ARM Off Spin,2,Uncapped,20
33,UAL4,Hayden Kerr,Australia,25,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,0,Uncapped,20
33,UAL4,Saurabh Kumar,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
33,UAL4,Shams Mulani,India,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
33,UAL4,Dhruv Patel,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
33,UAL4,Atit Sheth,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
33,UAL4,Utkarsh Singh,India,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,Uncapped,20
33,UAL4,David Wiese,Namibia,36,ALL-ROUNDER,RHB,RIGHT ARM Medium,15,Associate,50
34,UWK3,Kaif Ahmad,India,24,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
34,UWK3,Shubhum Arora,India,24,WICKETKEEPER,LHB,Not specified,0,Uncapped,20
34,UWK3,Arun Karthick,India,36,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,17,Uncapped,40
34,UWK3,Eknath Kerkar,India,28,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
34,UWK3,Kennar Lewis,West Indies,30,WICKETKEEPER,RHB,Not specified,0,Uncapped,40
34,UWK3,Nikhil Naik,India,27,WICKETKEEPER,RHB,Not specified,4,Uncapped,20
34,UWK3,Urvil Patel,India,23,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
34,UWK3,B.R. Sharath,India,25,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
34,UWK3,K.L. Shrijith,India,25,WICKETKEEPER,LHB,Not specified,0,Uncapped,20
35,UFA4,Mohit Avasthi,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
35,UFA4,Sushant Mishra,India,21,BOWLER,LHB,LEFT ARM Fast Medium,0,Uncapped,20
35,UFA4,Matheesha Pathirana,Sri Lanka,19,BOWLER,RHB,RIGHT ARM Fast,0,Uncapped,20
35,UFA4,G Periyasamy,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
35,UFA4,M.Harishankar Reddy,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
35,UFA4,R. Silambarasan,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
35,UFA4,Aditya Thakare,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
35,UFA4,Tanveer Ul Haq,India,30,BOWLER,RHB,LEFT ARM Fast,0,Uncapped,20
35,UFA4,Prithviraj Yarra,India,24,BOWLER,LHB,LEFT ARM Fast,2,Uncapped,20
36,USP3,Satyajeet Bachhav,India,29,BOWLER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
36,USP3,Chintal Gandhi,India,27,BOWLER,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
36,USP3,Jacob Lintott,England,28,BOWLER,RHB,LEFT ARM Slow Unorthodox,0,Uncapped,20
36,USP3,Izharulhuq Naveed,Afghanistan,18,BOWLER,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
36,USP3,Tanveer Sangha,Australia,20,BOWLER,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
36,USP3,Manav Suthar,India,19,BOWLER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
36,USP3,Milind Tandon,India,28,BOWLER,RHB,LEFT ARM Slow Unorthodox,0,Uncapped,20
36,USP3,Sagar Udeshi,India,35,BOWLER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
36,USP3,Kushaal Wadhwani,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
36,USP3,Akshay Wakhare,India,36,BOWLER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
37,BA5,Darren Bravo,West Indies,33,BATSMAN,LHB,Not specified,1,Capped,75
37,BA5,Shamrah Brooks,West Indies,33,BATSMAN,RHB,RIGHT ARM Leg Spin,0,Capped,50
37,BA5,Avishka Fernando,Sri Lanka,24,BATSMAN,RHB,RIGHT ARM Medium,0,Capped,50
37,BA5,Zubayr Hamza,South Africa,26,BATSMAN,RHB,RIGHT ARM Leg Spin,0,Capped,50
37,BA5,Pathum Nissaanka,Sri Lanka,23,BATSMAN,RHB,RIGHT ARM Off Spin,0,Capped,50
37,BA5,Kurtis Patterson,Australia,29,BATSMAN,LHB,Not specified,0,Capped,50
37,BA5,Hashmatullah Shahidi,Afghanistan,27,BATSMAN,LHB,RIGHT ARM Off Spin,0,Capped,50
37,BA5,Manoj Tiwary,India,36,BATSMAN,RHB,RIGHT ARM Leg Spin,98,Capped,50
38,AL5,Ashton Agar,Australia,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Capped,200
38,AL5,Carlos Brathwaite,West Indies,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,16,Capped,75
38,AL5,Kedar Jadhav,India,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,93,Capped,100
38,AL5,Colin Munro,New Zealand,35,ALL-ROUNDER,LHB,RIGHT ARM Medium,13,Capped,150
38,AL5,Gulbadin Naib,Afghanistan,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,Capped,50
38,AL5,Keemo Paul,West Indies,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,8,Capped,75
38,AL5,Parvez Rasool,India,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,11,Capped,50
38,AL5,Dasun Shanaka,Sri Lanka,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,Capped,50
39,FA5,Wesley Agar,Australia,25,BOWLER,RHB,RIGHT ARM Fast,0,Capped,50
39,FA5,Shoriful Islam,Bangladesh,20,BOWLER,LHB,LEFT ARM Fast Medium,0,Capped,50
39,FA5,Josh Little,Ireland,22,BOWLER,RHB,LEFT ARM Fast Medium,0,Capped,50
39,FA5,Blessing Muzarabani,Zimbabwe,25,BOWLER,RHB,RIGHT ARM Fast,0,Capped,50
39,FA5,Jayden Seales,West Indies,20,BOWLER,LHB,RIGHT ARM Fast,0,Capped,50
39,FA5,Mohit Sharma,India,33,BOWLER,RHB,RIGHT ARM Fast Medium,86,Capped,50
39,FA5,Barinder Sran,India,29,BOWLER,LHB,LEFT ARM Fast Medium,24,Capped,50
39,FA5,Billy Stanlake,Australia,27,BOWLER,LHB,RIGHT ARM Fast,6,Capped,75
39,FA5,Neil Wagner,New Zealand,36,BOWLER,LHB,LEFT ARM Fast Medium,0,Capped,50
40,UBA5,Qamran Iqbal,India,20,BATSMAN,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
40,UBA5,Ishank Jaggi,India,33,BATSMAN,RHB,Not specified,7,Uncapped,20
40,UBA5,Rohan Kunnummal,India,23,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
40,UBA5,Tanmay Mishra,India,35,BATSMAN,RHB,RIGHT ARM Off Spin,1,Uncapped,20
40,UBA5,Yash Nahar,India,27,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
40,UBA5,Shubham Singh Rohilla,India,24,BATSMAN,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
40,UBA5,Alex Ross,Australia,29,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
40,UBA5,Naushad Shaikh,India,30,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
41,UAL5,Baba Aparajith,India,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
41,UAL5,Prayas Barman,India,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,Uncapped,20
41,UAL5,Yudhvir Charak,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
41,UAL5,Shubhang Hegde,India,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
41,UAL5,Roosh Kalaria,India,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,0,Uncapped,20
41,UAL5,Tanush Kotian,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
41,UAL5,Kaushal Tambe,India,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
41,UAL5,Shivank Vashisth,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
42,UWK4,Rahul Chandrol,India,21,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
42,UWK4,Harvik Desai,India,22,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
42,UWK4,Cam Fletcher,New Zealand,29,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
42,UWK4,Tarang Gohel,India,22,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
42,UWK4,Fazil Makaya,India,25,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
42,UWK4,Ryan Rickelton,South Africa,25,WICKETKEEPER,LHB,Not specified,0,Uncapped,20
42,UWK4,Sandeep Kumar Tomar,India,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,Uncapped,20
42,UWK4,Siddhesh Wath,India,24,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
43,UFA5,Stephen Cheepurupalli,India,28,BOWLER,LHB,LEFT ARM Fast Medium,0,Uncapped,20
43,UFA5,Aniket Choudhary,India,32,BOWLER,RHB,LEFT ARM Fast Medium,0,Uncapped,20
43,UFA5,Kartikeya Kak,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
43,UFA5,Ali Khan,USA,31,BOWLER,RHB,RIGHT ARM Fast,0,Associate,40
43,UFA5,Kulwant Khejroliya,India,30,BOWLER,LHB,LEFT ARM Fast,0,Uncapped,20
43,UFA5,Ronit More,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,2,Uncapped,20
43,UFA5,M Nidheesh,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
