Set No.,Set Name,Player,Country,Age,Specialism,Batting,Bowling,IPL,C/U/A,Base Price
15,SP2,Maheesh Theekshana,Sri Lanka,21,BOWLER,RHB,RIGHT ARM Off Spin,0,Capped,50
16,UBA2,Rinku Singh,India,24,BATSMAN,LHB,RIGHT ARM Off Spin,11,Uncapped,20
16,UBA2,Manan Vohra,India,28,BATSMAN,RHB,Not specified,53,Uncapped,20
17,UAL2,Yash Dhull,India,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
17,UAL2,Rajvardhan Hangargekar,India,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,Uncapped,30
17,UAL2,Mahipal Lomror,India,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,11,Uncapped,40
17,UAL2,Darshan Nalkande,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
17,UAL2,Vicky Ostwal,India,19,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,Uncapped,20
17,UAL2,Ripal Patel,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,Uncapped,20
17,UAL2,Anukul Roy,India,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,1,Uncapped,20
17,UAL2,Lalit Yadav,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,7,Uncapped,20
17,UAL2,Sanjay Yadav,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
18,UFA2,Yash Dayal,India,24,BOWLER,RHB,LEFT ARM Fast,0,Uncapped,20
18,UFA2,Kuldeep Sen,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
18,UFA2,Simarjeet Singh,India,24,BOWLER,RHB,RIGHT ARM Fast,0,Uncapped,20
19,BA3,Finn Allen,New Zealand,22,BATSMAN,RHB,RIGHT ARM Off Spin,0,Capped,50
19,BA3,Devon Conway,New Zealand,30,BATSMAN,LHB,RIGHT ARM Medium,0,Capped,100
19,BA3,Alex Hales,England,33,BATSMAN,RHB,Not specified,6,Capped,150
19,BA3,Evin Lewis,West Indies,30,BATSMAN,LHB,Not specified,21,Capped,200
19,BA3,Karun Nair,India,30,BATSMAN,RHB,RIGHT ARM Off Spin,73,Capped,50
19,BA3,Rovman Powell,West Indies,28,BATSMAN,RHB,RIGHT ARM Fast Medium,0,Capped,75
20,AL3,Jofra Archer,England,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,35,Capped,200
20,AL3,Rishi Dhawan,India,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,26,Capped,50
20,AL3,Daryl Mitchell,New Zealand,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,Capped,75
20,AL3,Dwaine Pretorius,South Africa,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Capped,50
20,AL3,Sherfane Rutherford,West Indies,23,ALL-ROUNDER,LHB,RIGHT ARM Medium,7,Capped,100
20,AL3,Daniel Sams,Australia,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,5,Capped,100
20,AL3,Mitchell Santner,New Zealand,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,6,Capped,100
20,AL3,Romario Shepherd,West Indies,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Capped,75
21,WK2,Glenn Phillips,New Zealand,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,3,Capped,150
21,WK2,Tim Seifert,New Zealand,27,WICKETKEEPER,RHB,Not specified,1,Capped,50
22,FA3,Jason Behrendorff,Australia,31,BOWLER,RHB,LEFT ARM Fast Medium,5,Capped,75
22,FA3,Nathan Ellis,Australia,27,BOWLER,RHB,RIGHT ARM Fast Medium,3,Capped,75
22,FA3,Fazalhaq Farooqi,Afghanistan,21,BOWLER,RHB,LEFT ARM Fast Medium,0,Capped,50
22,FA3,Siddharth Kaul,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,54,Capped,75
22,FA3,Obed Mccoy,West Indies,25,BOWLER,LHB,LEFT ARM Fast,0,Capped,75
22,FA3,Tymal Mills,England,29,BOWLER,RHB,LEFT ARM Fast,5,Capped,100
22,FA3,Adam Milne,New Zealand,29,BOWLER,RHB,RIGHT ARM Fast,9,Capped,150
24,UBA3,Subhranshu Senapati,India,25,BATSMAN,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
25,UAL3,Tim David,Australia,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,1,Uncapped,40
25,UAL3,Pravin Dubey,India,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,3,Uncapped,20
25,UAL3,Prerak Mankad,India,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,Uncapped,20
25,UAL3,Suyash Prabhudessai,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
25,UAL3,Ramandeep Singh,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,Uncapped,20
26,UWK2,Dhruv Jurel,India,21,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
26,UWK2,Aryan Juyal,India,20,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
26,UWK2,Luvnith Sisodia,India,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,Uncapped,20
27,UFA3,Vaibhav Arora,India,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
27,UFA3,Mukesh Choudhary,India,25,BOWLER,LHB,LEFT ARM Fast,0,Uncapped,20
27,UFA3,Rasikh Dar,India,22,BOWLER,RHB,RIGHT ARM Fast Medium,1,Uncapped,20
27,UFA3,Mohsin Khan,India,23,BOWLER,LHB,LEFT ARM Fast Medium,0,Uncapped,20
27,UFA3,Chama Milind,India,27,BOWLER,LHB,LEFT ARM Fast,0,Uncapped,20
27,UFA3,Mayank Yadav,India,19,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
28,USP2,Tejas Baroka,India,26,BOWLER,RHB,RIGHT ARM Leg Spin,1,Uncapped,20
28,USP2,Prashant Solanki,India,22,BOWLER,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
30,AL4,Fabian Allen,West Indies,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,4,Capped,75
